Filename                                              Regions  Missed Regions    Cover  Functions  Missed Functions  Executed  Lines  Missed Lines    Cover  Branches  Missed Branches  Cover
trading\src\cancel.rs                                      74              15   79.73%          4                 0   100.00%     53             8   84.91%         0                0      -
trading\src\client\builder.rs                             114               2   98.25%         13                 0   100.00%    110             1   99.09%         0                0      -
trading\src\client\helpers.rs                             113               8   92.92%          6                 1    83.33%    118             3   97.46%         0                0      -
trading\src\client\methods.rs                              33               3   90.91%         22                 0   100.00%    107             3   97.20%         0                0      -
trading\src\client\mod.rs                                  30               3   90.00%          8                 1    87.50%     27             3   88.89%         0                0      -
trading\src\client\swap.rs                                171              56   67.25%         22                 8    63.64%    150            38   74.67%         0                0      -
trading\src\error.rs                                       53               7   86.79%          5                 0   100.00%     30             3   90.00%         0                0      -
trading\src\onchain.rs                                    357              57   84.03%         34                 6    82.35%    306            45   85.29%         0                0      -
trading\src\order.rs                                      259              37   85.71%         22                 7    68.18%    211            30   85.78%         0                0      -
trading\src\params.rs                                      81               4   95.06%          8                 0   100.00%     56             6   89.29%         0                0      -
trading\src\post.rs                                       393              68   82.70%         35                 3    91.43%    388            46   88.14%         0                0      -
trading\src\quote.rs                                      422              42   90.05%         21                 3    85.71%    350            23   93.43%         0                0      -
trading\src\slippage.rs                                   556             129   76.80%         32                 6    81.25%    475           116   75.58%         0                0      -
trading\src\types\params.rs                               454              20   95.59%         80                 4    95.00%    462            18   96.10%         0                0      -
trading\src\types\result.rs                               111              34   69.37%         14                 5    64.29%    152            60   60.53%         0                0      -
trading\src\validation.rs                                 146               8   94.52%         15                 2    86.67%    126             6   95.24%         0                0      -
trading\src\wait.rs                                       158              67   57.59%         22                 3    86.36%    133            40   69.92%         0                0      -
wasm\src\helpers\app_data.rs                               28               7   75.00%          7                 2    71.43%     25            10   60.00%         0                0      -
wasm\src\helpers\chains.rs                                 77               9   88.31%         12                 2    83.33%     46             2   95.65%         0                0      -
wasm\src\helpers\dto.rs                                   219              75   65.75%         23                11    52.17%    151            55   63.58%         0                0      -
wasm\src\helpers\errors.rs                                 10               0  100.00%          2                 0   100.00%     12             0  100.00%         0                0      -
wasm\src\helpers\signing.rs                                18               0  100.00%          3                 0   100.00%     19             0  100.00%         0                0      -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL (SDK)                                             22675            3672   83.81%       2673               512    80.85%  18386          2776   84.90%         0                0      -

xtask: internal build/maintenance tooling (not counted in the SDK total above)
Filename                                              Regions  Missed Regions    Cover  Functions  Missed Functions  Executed  Lines  Missed Lines    Cover  Branches  Missed Branches  Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
xtask\src\docs\agree.rs                                   282             103   63.48%         15                 3    80.00%    171            66   61.40%         0                0      -
xtask\src\docs\audit_index.rs                             183             100   45.36%         17                 9    47.06%     97            50   48.45%         0                0      -
xtask\src\main.rs                                         146             131   10.27%          6                 4    33.33%     85            76   10.59%         0                0      -
xtask\src\parity\mod.rs                                  1019             261   74.39%         65                25    61.54%    571           123   78.46%         0                0      -
xtask\src\parity\openapi_coverage.rs                      967             297   69.29%         75                21    72.00%    614           154   74.92%         0                0      -
xtask\src\parity\registry_confirm.rs                      342             278   18.71%         31                25    19.35%    236           197   16.53%         0                0      -
xtask\src\parity\sync.rs                                  727             491   32.46%         55                43    21.82%    368           246   33.15%         0                0      -
